Loss: 0.3459, Iou: 30.7041
Loss: 0.3906, Iou: 32.318
Loss: 0.4253, Iou: 32.8355
Loss: 0.3857, Iou: 32.6638
Loss: 0.3615, Iou: 30.4531
Loss: 0.3715, Iou: 30.6168
Loss: 0.5414, Iou: 32.745
Loss: 0.3252, Iou: 30.2284
Loss: 0.4629, Iou: 32.0412
Loss: 0.5024, Iou: 32.0872
Loss: 0.3734, Iou: 30.4153
Loss: 0.4113, Iou: 32.1359
Loss: 0.4101, Iou: 32.302
Loss: 0.4623, Iou: 32.8429
Loss: 0.5094, Iou: 30.6635
Loss: 0.4133, Iou: 31.6352
Loss: 0.4122, Iou: 32.0217
Loss: 0.4447, Iou: 32.5248
Loss: 0.4191, Iou: 31.9996
Loss: 0.3776, Iou: 32.1889
Loss: 0.3667, Iou: 30.8882
Loss: 0.3953, Iou: 31.7744
Loss: 0.4133, Iou: 31.0385
Loss: 0.5056, Iou: 31.909
Loss: 0.4778, Iou: 31.8011
Loss: 0.4288, Iou: 33.0509
Loss: 0.4133, Iou: 32.792
Loss: 0.4234, Iou: 31.5082
Loss: 0.3862, Iou: 31.5066
Loss: 0.4389, Iou: 31.8882
Loss: 0.4183, Iou: 31.9648
Loss: 0.407, Iou: 32.0484
Loss: 0.4089, Iou: 31.4784
Loss: 0.3851, Iou: 31.5489
Loss: 0.4022, Iou: 33.2387
Loss: 0.4421, Iou: 31.084
Loss: 0.3636, Iou: 31.1798
Loss: 0.4139, Iou: 31.1123
Loss: 0.3797, Iou: 30.4199
Loss: 0.398, Iou: 32.6157
Loss: 0.3421, Iou: 30.7905
Loss: 0.4398, Iou: 32.81
Loss: 0.4005, Iou: 32.4158
Loss: 0.4279, Iou: 32.8108
Loss: 0.3562, Iou: 31.8325
Loss: 0.3935, Iou: 32.4079
Loss: 0.3447, Iou: 33.8118
Loss: 0.3211, Iou: 32.4907
Loss: 0.4112, Iou: 31.9438
Loss: 0.3475, Iou: 32.7876
Loss: 0.3681, Iou: 32.5104
Loss: 0.3755, Iou: 33.2818
Loss: 0.3289, Iou: 31.3187
Loss: 0.3666, Iou: 33.0899
Loss: 0.329, Iou: 32.9449
Loss: 0.3596, Iou: 32.5135
Loss: 0.3433, Iou: 33.3281
Loss: 0.3559, Iou: 33.8366
Loss: 0.4004, Iou: 32.1032
Loss: 0.4889, Iou: 34.1052
Loss: 0.3896, Iou: 33.3302
Loss: 0.3907, Iou: 33.7642
Loss: 0.3617, Iou: 32.2984
Loss: 0.3568, Iou: 31.4007
Loss: 0.4299, Iou: 31.7026
Loss: 0.4906, Iou: 30.8213
Loss: 0.3747, Iou: 33.5966
Loss: 0.3729, Iou: 32.7364
Loss: 0.398, Iou: 32.3655
Loss: 0.3768, Iou: 31.4787
Loss: 0.3706, Iou: 32.091
Loss: 0.5091, Iou: 32.6293
Loss: 0.4311, Iou: 33.0187
Loss: 0.448, Iou: 32.1683
Loss: 0.3693, Iou: 32.7041
Loss: 0.3662, Iou: 31.9201
Loss: 0.3899, Iou: 32.7392
Loss: 0.5901, Iou: 32.0127
Loss: 0.4137, Iou: 32.2112
Loss: 0.4213, Iou: 31.9429
Loss: 0.4501, Iou: 31.8828
Loss: 0.4491, Iou: 31.5024
Loss: 0.4119, Iou: 31.8627
Loss: 0.4419, Iou: 32.2771
Loss: 0.3774, Iou: 31.6235
Loss: 0.72, Iou: 31.854
Loss: 0.4468, Iou: 33.2779
Loss: 0.4092, Iou: 31.8292
Loss: 0.3784, Iou: 31.4093
Loss: 0.3785, Iou: 31.2963
Loss: 0.3376, Iou: 32.0133
Loss: 0.3787, Iou: 30.9338
Loss: 0.3585, Iou: 31.9192
Loss: 0.4082, Iou: 31.4801
Loss: 0.3856, Iou: 31.9335
Loss: 0.3548, Iou: 32.2728
Loss: 0.3792, Iou: 31.068
Loss: 0.4079, Iou: 32.909
Loss: 0.3843, Iou: 31.6427
Loss: 0.3962, Iou: 31.9365
Loss: 0.3572, Iou: 32.989
Loss: 0.3996, Iou: 32.2576
Loss: 0.394, Iou: 32.189
Loss: 0.4287, Iou: 31.5536
Loss: 0.4113, Iou: 32.0315
Loss: 0.4379, Iou: 31.8201
Loss: 0.4573, Iou: 32.7505
Loss: 0.4371, Iou: 32.3552
Loss: 0.4259, Iou: 33.0476
Loss: 0.4009, Iou: 32.494
Loss: 0.3907, Iou: 32.7427
Loss: 0.3679, Iou: 33.6078
Loss: 0.417, Iou: 33.0365
Loss: 0.4729, Iou: 31.701
Loss: 0.4939, Iou: 32.565
Loss: 0.4341, Iou: 32.8991
Loss: 0.4156, Iou: 32.4129
Loss: 0.3283, Iou: 31.7238
Loss: 0.382, Iou: 32.202
Loss: 0.4858, Iou: 32.4258
Loss: 0.3567, Iou: 33.1996
Loss: 0.3828, Iou: 32.2014
Loss: 0.3422, Iou: 30.4122
